City_EN,Prov_EN,death_rate,T_C_210114,T_D_210114,avg_co,avg_no2,avg_o3,avg_pm10,avg_pm2.5,avg_so2
Xuchang,Henan,0.02564102564102564,39,1,0.9497869169194103,29.65008138080265,65.56648375592252,77.63377230044728,52.08422370810465,10.984596749905842
Luohe,Henan,0,36,0,0.7308169843760138,25.565455668540555,68.41570566331193,84.76123680693873,53.815281022687394,9.205668201210326
Sanmenxia,Henan,0.14285714285714285,7,1,0.813736049363437,30.701163672860595,66.09707251385886,79.44468630585375,47.46022448013261,7.115656278976733
Nanyang,Henan,0.019230769230769232,156,3,0.9117687772510344,24.027468964644516,70.29463838431275,82.11685218516996,49.68425896605478,8.272663637825012
Shangqiu,Henan,0.03296703296703297,91,3,0.7665246991297818,27.355519765112334,70.71343498112749,80.54643693920053,51.436985139621264,7.036416738083869
Xinyang,Henan,0.0072992700729927005,274,2,0.6604395317594582,19.578192555713084,72.4541019008952,63.13782404207011,39.57204655387265,6.268999207544213
Zhoukou,Henan,0.013157894736842105,76,1,0.7895487802179749,24.391380152810342,71.04843431779862,77.0936208099985,48.789136289519455,8.641603175656757
Zhumadian,Henan,0,139,0,0.6277133513959715,21.244746430254597,72.99715684322027,72.69230261314807,44.85977463086119,6.440118623138656
Wuhan,Hubei,0.07685736988478348,50340,3869,0.8455948335784956,34.97096651441407,60.70507380296682,55.694350004479936,35.79785156740159,7.790856204147581
Huangshi,Hubei,0.03842364532019704,1015,39,1.0534920897431082,28.918453914894773,62.144556745093126,60.62199615710766,33.69011107636743,14.825370138160206
Shiyan,Hubei,0.011904761904761904,672,8,0.8454123747168347,20.27141937995508,56.7355208495988,53.38229419832771,32.602909042876405,5.661692546234657
Yichang,Hubei,0.0397422126745435,931,37,0.8049761930969164,22.93672873081661,50.26212036023866,55.64201147097496,39.17495971175113,6.7750586401912685
Xiangfan,Hubei,0.03404255319148936,1175,40,0.8171436558242496,26.39622107537031,65.08676909407392,67.7654455907562,51.123671211177516,10.628337204300848
Ezhou,Hubei,0.04232424677187949,1394,59,0.9683658461500838,28.54635521361004,60.477708815148326,63.76126077227877,36.27521984263311,10.765552721756034
Jingmen,Hubei,0.04418103448275862,928,41,0.7284276759598282,21.876764328504915,68.90433804676772,56.55354004290648,44.07896370589781,6.460539837346519
Xiaogan,Hubei,0.036668561682774305,3518,129,1.0339332485806427,16.766205014512238,66.35789554754436,55.55302935762932,34.77197003300042,6.137434478237838
Jingzhou,Hubei,0.03291139240506329,1580,52,0.837142237827257,24.801898233084966,60.89447777279937,62.549557202817844,35.440384546666486,7.27336036105835
Huanggang,Hubei,0.042999656002751976,2907,125,0.8627687875762552,21.78526967951787,66.7243471772469,59.42091050627022,34.67510188795212,10.265660818658343
Xianning,Hubei,0.017942583732057416,836,15,0.8030344421506075,16.173254008010215,61.228703552522845,46.88939789506275,28.271769111931903,8.698260501184974
Suizhou,Hubei,0.03442999234889059,1307,45,0.8951657559550733,18.724181848808833,65.69201975090289,58.47331527262393,35.7637640550377,5.601922050917948
Enshitujiazumiaozu,Hubei,NA,0,0,0.5190258141136801,17.961192831368216,37.54616529698499,43.732682187391944,26.115382738320605,7.0894469400253275
Hubei (Direct Units),Hubei,0.03826086956521739,575,22,NA,NA,NA,NA,NA,NA
Changsha,Hunan,0.008264462809917356,242,2,0.8003892883147693,26.254130076665387,57.41295236337048,46.0876083295526,39.64081345717959,6.480230917550956
Zhuzhou,Hunan,0,80,0,0.6781696606102318,27.88746053771696,54.928851887040935,49.60107236363574,36.17537041930205,8.280605050064084
Xiangtan,Hunan,0,36,0,0.7469804846158488,28.307432724731733,51.7987871945374,51.658916164904255,37.38205594138839,7.774932889693012
Hengyang,Hunan,0,48,0,0.8583028303203516,21.12166086302122,55.30252368135827,51.16421878790559,34.287885374817506,11.376754746180024
Shaoyang,Hunan,0.00980392156862745,102,1,0.7185430335485238,19.25028593692288,53.235084367857276,50.2959003952579,35.71390157579118,12.066762967587996
Yueyang,Hunan,0.00641025641025641,156,1,0.7940862034682308,24.512412730236793,59.555669460271815,54.00355121306689,35.93441818386249,9.621436143202612
Changde,Hunan,0,82,0,0.7052108490234077,18.092131232992454,57.90406551663174,49.503297716769474,39.26403196565493,7.178361650218695
Zhangjiajie,Hunan,0,5,0,0.5877550820290561,15.914859196495769,40.98447003737898,41.218895764288874,24.000641833532306,2.776338544612068
Yiyang,Hunan,0,60,0,1.0958519627345331,17.988450124634646,57.152197096653424,56.35649003181172,40.75508901226153,4.937653914715047
Chenzhou,Hunan,0,39,0,0.7020308396819365,19.8945878640614,50.82281117982348,38.76878510887443,27.226635577737234,10.33129095155319
Yongzhou,Hunan,0,44,0,0.608827202951172,19.632362166778186,56.87238092580131,44.8782610665732,31.205343266486576,7.216478948788766
Huaihua,Hunan,0,40,0,0.9906666377497465,14.345188040873877,51.85323391987408,51.09736982260151,27.62914670884252,7.486626912866919
Loudi,Hunan,0,76,0,0.873194866277238,21.45128916155907,55.53310501999796,52.882391850069354,32.11382331422934,7.528212576774024
Xiangxitujiazumiaozu,Hunan,NA,0,0,0.8416623770493394,15.213358162895005,39.458321535142616,39.48092397019939,23.948764792111916,6.154469922082318
Guangzhou,Guangdong,0.0010615711252653928,942,1,0.7486324946612978,35.77083901796102,53.537138298168294,42.01696774323648,22.49872965477001,6.948594369156212
Shaoguan,Guangdong,0.1,10,1,0.8126621880651707,20.316509702372226,54.376815502553235,36.07096098352709,23.363502362550637,9.88394212512235
Shenzhen,Guangdong,0.006185567010309278,485,3,0.5911906897010002,22.227025069848395,55.23240343440622,34.32223056924717,18.976856467242108,5.774046702954351
Zhuhai,Guangdong,0.008928571428571428,112,1,0.5736434097310903,23.339621954741602,59.55078544935247,32.66979031278409,18.127038390114375,4.7022199073627124
Shantou,Guangdong,0,26,0,0.588533060061229,16.045120152137773,70.36088865936006,34.10808366773158,18.846874155244546,8.252937492408993
Foshan,Guangdong,0,106,0,0.6751545218371032,30.49262442284749,51.93019840920102,41.73044307519489,21.93969286280274,7.418226937798148
Jiangmen,Guangdong,0,25,0,0.7016147100564724,25.373520552884564,57.655092008875336,39.58357314820847,20.40499689090218,6.978532453740954
Zhanjiang,Guangdong,0,30,0,0.6054719278754059,12.524488663885828,63.499645001063875,34.05953480589217,20.639023155266333,7.935736436815794
Maoming,Guangdong,0,17,0,0.6706374296064267,11.603794013779943,57.40919934005972,38.04902539512832,20.66385114139238,10.027566337508622
Zhaoqing,Guangdong,0.043478260869565216,23,1,0.5739970137260105,25.182571997455412,49.51493422744311,36.431096806410835,22.76938294824439,9.295848979270188
Huizhou,Guangdong,0,63,0,0.594047375545586,17.720656771348015,60.27829873483275,37.559388042472854,19.620183539057958,7.974972793405974
Meizhou,Guangdong,0,17,0,0.6908177400612968,21.524349369092015,47.612832141072055,32.58691243531326,21.91942367561796,6.90701028284071
Shanwei,Guangdong,0,6,0,0.5855647021426312,10.104505065243416,70.46945668394443,29.078211031205832,17.53244231562803,8.396871581972475
Heyuan,Guangdong,0,5,0,0.7315639254700103,19.180932812274587,56.74418765866065,36.14153270647479,21.967409379745195,7.27328525929016
Yangjiang,Guangdong,0,16,0,0.6679106290989596,13.405402144716087,59.14051924450274,33.6960396796441,20.70430032514701,7.1131582264981255
Qingyuan,Guangdong,0,13,0,0.7509281735433717,28.887353625045026,55.32348326088121,45.83913429938825,27.900142246926343,8.412783631589809
Dongguan,Guangdong,0.009900990099009901,101,1,0.6413587298005884,26.324452177292255,58.187281304058935,36.77979835650431,23.738771957781882,8.202912200583082
Zhongshan,Guangdong,0,69,0,0.6329678967399753,23.815452165677748,54.57899380837145,35.268654177337616,19.347098546602844,4.719704812873618
