City_EN,Prov_EN,death_rate,T_C_210114,T_D_210114,avg_co,avg_no2,avg_o3,avg_pm10,avg_pm2.5,avg_so2,total_pop,total_area
Beijing,Beijing,0.009009009009009009,999,9,0.6304376436025617,29.115675196749308,63.105181775168795,56.549633677374175,38.4742105553125,3.644160263222408,18827262,0.853266458
Tianjin,Tianjin,0.009259259259259259,324,3,0.8883900349742139,38.833505108405184,65.86036422861905,68.08906152550068,48.15490136201262,8.436657619227388,11090783,0.583951623
Shijiazhuang,Hebei,0.0017857142857142857,560,1,0.9220896729945004,40.54009953843513,62.663969682391404,103.5020760694772,58.62563254802205,12.237775561014413,10163788,1.444669585
Tangshan,Hebei,0.017241379310344827,58,1,1.20593394354469,45.79970899558107,60.909307641090294,88.67403316328289,49.03434923170885,18.094685178421923,7577289,1.370086952
Qinhuangdao,Hebei,0.1,10,1,0.8392269472876651,33.918477280808375,66.36880451901011,63.18571116378632,34.374254968193554,14.59473650604726,2987605,0.819424599
Handan,Hebei,0,32,0,0.9700080517519469,34.29201512568246,68.42671683941846,103.19505436348797,56.70963267702565,14.27342696998595,9174683,1.214557243
Xingtai,Hebei,0.017543859649122806,57,1,1.0949134539527114,36.69383671097147,65.4822385957123,93.49627434987322,53.30546442200513,14.765548943589469,7104103,1.266408195
Baoding,Hebei,0,34,0,0.7469503297428344,36.02625827383613,63.99265452289314,86.28342168993461,50.33590771055599,11.089636431738954,11194382,2.318843502
Zhangjiakou,Hebei,0,43,0,0.611569661918044,19.175943321332245,76.38051849972172,54.567252003238515,24.339145962443745,11.183968464788487,4345485,3.920344231
Chengde,Hebei,0,7,0,0.8495790594010773,31.16218536598531,57.99987946891069,55.40233327860377,27.292868864661745,12.051773031571019,3473201,4.257415786
Cangzhou,Hebei,0.061224489795918366,49,3,0.752003425182218,31.730559775070205,72.12769864395466,80.5785100459548,46.30236714830439,10.941525705195941,7134062,1.452542888
Langfang,Hebei,0,33,0,0.6829623622987161,35.72943688587702,65.46621745950242,76.28219422161085,42.17804037014788,8.011284219052534,4358839,0.669868741
Hengshui,Hebei,0,8,0,0.7252272004383142,30.127445487971038,73.93212889946199,82.48945788818858,51.13563850611477,12.128122292923686,4340773,0.902424229
Taiyuan,Shanxi,0,21,0,0.9289645880130334,45.360863467409,60.52663364177197,97.79107661250175,54.31296831442896,16.955599675509475,4201592,0.714819545
Datong,Shanxi,0,12,0,1.0737017488464708,31.237409109793923,62.84027693270178,76.26320454549929,30.664183797293234,29.241045557083996,3318054,1.476837726
